area_numbe,area_number,community
14,14,ALBANY PARK
57,57,ARCHER HEIGHTS
34,34,ARMOUR SQUARE
70,70,ASHBURN
71,71,AUBURN GRESHAM
25,25,AUSTIN
45,45,AVALON PARK
21,21,AVONDALE
19,19,BELMONT CRAGIN
72,72,BEVERLY
60,60,BRIDGEPORT
58,58,BRIGHTON PARK
47,47,BURNSIDE
48,48,CALUMET HEIGHTS
44,44,CHATHAM
66,66,CHICAGO LAWN
64,64,CLEARING
35,35,DOUGLAS
17,17,DUNNING
27,27,EAST GARFIELD PARK
52,52,EAST SIDE
77,77,EDGEWATER
9,9,EDISON PARK
68,68,ENGLEWOOD
12,12,FOREST GLEN
37,37,FULLER PARK
63,63,GAGE PARK
56,56,GARFIELD RIDGE
38,38,GRAND BOULEVARD
69,69,GREATER GRAND CROSSING
55,55,HEGEWISCH
20,20,HERMOSA
23,23,HUMBOLDT PARK
41,41,HYDE PARK
16,16,IRVING PARK
11,11,JEFFERSON PARK
39,39,KENWOOD
6,6,LAKE VIEW
7,7,LINCOLN PARK
4,4,LINCOLN SQUARE
22,22,LOGAN SQUARE
32,32,LOOP
31,31,LOWER WEST SIDE
59,59,MCKINLEY PARK
18,18,MONTCLARE
75,75,MORGAN PARK
74,74,MOUNT GREENWOOD
8,8,NEAR NORTH SIDE
33,33,NEAR SOUTH SIDE
28,28,NEAR WEST SIDE
61,61,NEW CITY
5,5,NORTH CENTER
29,29,NORTH LAWNDALE
13,13,NORTH PARK
10,10,NORWOOD PARK
36,36,OAKLAND
76,76,OHARE
15,15,PORTAGE PARK
50,50,PULLMAN
54,54,RIVERDALE
1,1,ROGERS PARK
49,49,ROSELAND
46,46,SOUTH CHICAGO
51,51,SOUTH DEERING
30,30,SOUTH LAWNDALE
43,43,SOUTH SHORE
3,3,UPTOWN
73,73,WASHINGTON HEIGHTS
40,40,WASHINGTON PARK
62,62,WEST ELSDON
67,67,WEST ENGLEWOOD
26,26,WEST GARFIELD PARK
65,65,WEST LAWN
53,53,WEST PULLMAN
2,2,WEST RIDGE
24,24,WEST TOWN
42,42,WOODLAWN
